categoria, tipo, marca, descricao, valor, classificacao_kids
Eletrodomésticos','Geladeira','Brastemp','Geladeira Brastemp Frost Free Duplex 375L Inox - Compartimento Extrafrio Fresh Zone BRM44HK 110V','3039.00', default,
Eletrodomésticos','Geladeira','Electrolux','Geladeira Cycle Defrost Electrolux 240 Litros Degelo Prático Branco RE31 - 110V','1723.92', default,
Eletrodomésticos','Fogão','Dako','Fogão 5 Bocas Preto com Mesa de Vidro e Timer Digital Dako Supreme Black Glass Bivolt','1759.00', default,
Eletrodomésticos','Fogão','Fisher','Fogão De Embutir Fischer 5 Bocas TC Gran Cheff Gás Com Dourador','2199.80', default,
Eletrodomésticos','Liquidificador','Oster','Liquidficador Oster 1,2l jarra vidro 127v preto 750w','264.99', default,
Eletrodomésticos','Liquidificador','Kd Eletro','Liquidficador Industrial 10 Litros Baixa Rotação Kd Eletro','796.52', default,
Eletrodomésticos','Micro-ondas','Electrolux','Micro-ondas Electrolux 23L Prata Efficient','671.04', default,
Eletrodomésticos','Micro-ondas','Brastemp','Micro-ondas Brastemp 38L Espelhado com Grill - Ative! BMJ38 ARANA','1186.55', default,
Eletrodomésticos','Máquina de lavar','Consul','Máquina de Lavar Consul 11Kg Dual Dispenser - Dosagem Extra Econômica CWH11BB','1803.27', default,
Eletrodomésticos','Máquina de lavar','LG','Lava e Seca Smart LG 11kg VC4 CV5011TS4 Motor - Inverter Inteligência Artificial AIDDTM','4074.55', default,
Eletrodomésticos','Fritadeira sem óleo','Mondial','Fritadeira Elétrica sem Óleo/Air Fryer Mondial - Family AF-35-BF Preta 3,5L com Timer','309.43', default,
Eletrodomésticos','Fritadeira sem óleo','Britânia','Fritadeira sem Óleo Britânia Air Fryer Oven BFR2100P, 12 Litros, 2 em 1, Preta','670.50', default,
Eletrodomésticos','Aspirador de pó','Electrolux','Aspirador de Pó Portátil e Vertical Electrolux - STK13 1000W Vermelho','199.00', default,
Eletrodomésticos','Aspirador de pó','Multilaser','Aspirador de Pó e Água Multilaser Filtro HEPA 60W - AU607 Vermelho','58.79', default,
Eletrodomésticos','Purificador de água','Colormaq','Purificador de Água Eletrônico Colormaq Branco Bivolt - Cpuelsaben','389.90', default,
Eletrodomésticos','Purificador de água','Philco','Purificador de Água Eletrônico Philco PBE04BF Branco Bivolt','319.90', default,
Eletrodomésticos','Cafeteira','Nescafé','Cafeteira Nescafe Dolce Gusto Mini Me Vermelha e Preta Automática 110v - Nescafé Dolce Gusto','419.90', default,
Eletrodomésticos','Cafeteira','Britânia','Cafeteira Elétrica Britânia CP15 15 Cafés Preto','113.99', default,
Eletrodomésticos','Panela de Pressão','Eirilar','Panela de Pressão Eirilar 4,5L Bordô - 1710','139.90', default,
Eletrodomésticos','Panela de Pressão','Clock','Panela de Pressão Clock 4,5L Prata - Original Polida Alumínio','107.70', default,
Móveis','Banheiro','Móveis Bechara','Armário De Banheiro Gênova 1 Porta 2 Prateleiras Com Espelho Branco - Bechara - Móveis Bechara','78.20', default,
Móveis','Banheiro','Multimóveis','Gabinete Banheiro 2 Portas e 1 Gav Retrô 120cm Multimóveis MP5025 Branco','269.90', default,
Móveis','Banheiro','Ozini','Armário de Banheiro 3 Portas com Cuba e Espelheira C0082507 Ozini','475.99', default,
Móveis','Quarto','Panorama Móveis','Cômoda 2 Portas 4 Gavetas New Branco - Panorama Móveis','279.90', default,
Móveis','Quarto','Móveis Europa','Guarda-roupa Casal com Espelho 3 Portas de Correr - 3 Gavetas Europa Maranello 11617.1','1439.91', default,
Móveis','Quarto','Belaflex','Escrivaninha Penteadeira de Canto 136x136cm com Espelho 1 Porta Star Belaflex','269.90', default,
Móveis','Quarto','Madesa','Guarda-Roupa Solteiro Madesa Denver 2 Portas de Correr com Espelho','629.99', default,
Móveis','Quarto infantil','Carolina Baby','Cômoda Fraldário Ariel Branco Brilho Carolina Baby','299.90',true,
Móveis','Quarto infantil','Carolina Baby','Quarto Infantil Decorado Ariel II Branco - Carolina Baby','1270.75',true,
Móveis','Quarto infantil','Gabrielli Móveis','Cama Quarto Infantil Carro com Colchão - GABRIELLI MÓVEIS','365.98',true,
Móveis','Quarto infantil','Móveis Peroba','Quarto de Bebê Completo com Guarda Roupa Uli 4 Portas Cômoda Uli 4 Gavetas Móveis Peroba','861.38',true,
Móveis','Quarto infantil','Móveis Estrela','Cama Infantil Móveis Estrela - Carruagem 88x188cm','654.32',true,
"Móveis','Sala de Estar','Multimóveis','Rack c/ Painel p/ TV até 65"" e Pés Retrô Flórida Multimóveis Preto','297.28', default,"
Móveis','Sala de Estar','SMP','Sofá Retrátil Reclinável 3 Lugares Suede - Phormatta Evolution SMP','959.99', default,
Móveis','Sala de Estar','Cama inBox','Sofá Retrátil e Reclinável Cama inBox Compact 1,50m Tecido Suede Velusoft Castor','799.90', default,
Móveis','Sala de Estar','Multimóveis','Estante Home Theater para TV até 55 Pol. Denver Multimóveis Madeirado/Preto','293.92', default,
Móveis','Sala de Jantar','Madesa','Conjunto Sala de Jantar Madesa Talita Mesa Tampo de Madeira com 4 Cadeiras','449.99', default,
Móveis','Sala de Jantar','Rufato','Conjunto de Mesa de Jantar Luna I com Vidro e 6 Cadeiras Grécia Veludo Creme e Off White - Rufato','1267.51', default,
Móveis','Sala de Jantar','HB Móveis','Cristaleira Aura HB Móveis 2 Portas De Vidro 1 Gaveta','1049.85', default,
Móveis','Sala de Jantar','Móveis Bechara','Cristaleira Adega Scala Sala de Estar Pé de Aço - Móveis Bechara','336.71', default,
Móveis','Sala de Jantar','Quarta Divisão Móveis','Cristaleira Tiffany 2 Portas De Vidro Reflecta - Quarta Divisão Móveis','462.96', default,
Informática','Monitores','Husky Gaming','Monitor Gamer Husky Storm 27 LED Curvo 165 Hz Full HD 1ms Adaptive Sync HDMI/DisplayPort Ajuste de Ângulo - HGMT001 - Husky Gaming','1199.99', default,
Informática','Monitores','LG','Monitor Gamer UltraWide LG 26WQ500-B 25,7” - Full HD 75Hz IPS 1ms HDMI FreeSync','899.10', default,
Informática','Monitores','Dell','Monitor Dell De 23.8 S2421hn','1231.12', default,
Informática','Monitores','Samsung','Monitor Full HD Samsung T350 LF24T350FHLMZD - 24” IPS LED HDMI VGA FreeSync','764.91', default,
Informática','Periféricos','Movitec','Mouse Movitec Óptico 1000DPI 3 Botões - OMFC-01','12.51', default,
Informática','Periféricos','Logitech','Kit Teclado e Mouse Sem Fio Logitech MK220','116.88', default,
Informática','Periféricos','T-Dagger','Teclado Mecânico Gamer T-Dagger Bora, RGB, Switch Outemu Blue, ABNT2 - T-TGK315-BLUE','149.99', default,
Informática','Periféricos','Megatron','Filtro de linha 6 tomadas Megatron','23.25', default,
Informática','Periféricos','Kingston','SSD Kingston A400 480GB - 500mb/s para Leitura e 450mb/s para Gravação','269.90', default,
Informática','Periféricos','Centrão','Suporte Para Notebook Alumínio Ajustável Dobrável - Conforto - Centrão','42.30', default,
Informática','Periféricos','Seagate','HD Externo 1TB Expansion USB 3.0 - SEAGATE','328.06', default,
Informática','Impressora','Epson','Impressora Multifuncional Epson Ecotank L3250 - Tanque de Tinta Colorida USB Wi-Fi','1169.10', default,
Informática','Impressora','HP','Impressora Multifuncional HP Smart Tank 514 - Tanque de Tinta Colorida Wi-Fi USB','944.91', default,
Informática','Impressora Térmica','Epson','Impressora Térmica Não Fiscal Epson - TM-T20X USB','665.10', default,
Informática','Impressora Térmica','Goldensky','Impressora Fiscal Térmica 58mm E Leitor Boleto Código Barras - Goldensky','300.00', default,
Informática','Notebook','Samsung','Notebook Samsung Book Intel Celeron 4GB 256GB SSD - 15,6” Full HD Windows 11 NP550XDA-KP3BR','1889.10', default,
"Informática','Notebook','Dell','Notebook Gamer Dell G15-i1200-M10P 15.6"" FHD 12ª Geração Intel Core i5 8GB 256GB SSD NVIDIA RTX 3050 Windows 11','6238.32', default,"
Informática','Notebook','Lenovo','Notebook Lenovo Ideapad 3i Intel Core i3 4GB - 256GB SSD 15,6” Full HD Windows 11 82MD000ABR','2294.10', default,
Informática','Notebook','Positivo','Notebook Positivo Motion Intel Atom - 4GB 128GB eMMC 14,1” LED Windows 10','1599.00', default,
"Informática','Notebook','Acer','Notebook Acer Aspire 5 A514-54-385S Intel Core i3 11ª Gen Windows 11 Home 4GB 256GB SDD 14"" Full HD','2375.12', default,"
Celulares','Smartphone','Motorola','Smartphone Motorola Moto G32 128GB Vermelho 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP','1079.10', default,
Celulares','Smartphone','Motorola','Smartphone Motorola Edge 30 256GB Grafite 5G - Octa-Core 8GB RAM 6,5” Câm. Tripla + Selfie 32MP','1999.00', default,
Celulares','Smartphone','Samsung','Smartphone Samsung Galaxy S22 128GB Rosé 5G 8GB - RAM Tela 6,1” Câm. Tripla + Selfie 10MP Snapdragon','4274.05', default,
Celulares','Smartphone','Samsung','Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP','1349.10', default,
